rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
114,5,5,5,5,5,3,2,5,5,3,4,4,3,2,5,3,4,2,4,68,3,1, , ,4, , ,8,2, ,4, , , ,57,4,C,3,35,2,4,3,5, ,2,3,2,50,4,0
115,5,5,4,5,5,5,2,5,4,3,4,5,5,2,5,1,4,1,4,68,3,9, , ,8, , ,2,2, ,20,4, , ,52,6,A2,4,42,2,6,3,5, ,2,3,3,500,12,0
116,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,3,50,3,7, , ,4, , ,8,2, ,99, , , ,50,3,D,3,35,1,3,3,5, ,2,3,1,100,1,1
117,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,2,5,2,4,68,3,9, , ,1,4, ,4,2, ,99, , , ,57,4,C,3,27,2,4,3,5, ,2,3,1,100,2,3
118,5,5,5,4,5,5,4,4,5,4,4,4,4,4,5,2,4,2,2,53,3,47, , ,4, , ,7,2, ,99, , , ,49,3,E1,3,60,2,2,3,5, ,2,3,1,200,2,3
119,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,6,56,3,30, , ,4, , ,8,1,7,2, , , ,57,4,C,3,48,1,4,1,5, ,2,3,2,200,5,3
120,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,1,1,6,6,68,3,10, , ,4, , ,7,2, ,99, , , ,67,6,A1,6,46,2,6,3,5, ,2,3,1,300,9,3
121,5,5,5,4,5,4,3,5,5,3,5,5,4,4,5,2,2,1,3,68,3,4, , ,1, , ,8,2, ,2,4, , ,52,3,C,4,45,2,3,3,5, ,2,3,2,400,12,0
122,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,3,2,2,50,3,42, , ,4, , ,8,2, ,99, , , ,50,2,E1,3,42,2,2,2,5, ,2,3,1,200,2,3
123,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,5,8,4,69,1,9, , ,1, , ,5,2, ,5, , , ,67,7,A1,8,20,1,4,3,5, ,2,3,1,100,9,3
